id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0246058-B1,Analog signal processor ,Westinghouse Electric Corporation,"James Franklin Sutherland, Albert William Crew, Thomas Joseph Kenny",1986-05-12,1987-05-11,1994-08-03,1994-08-03,https://patents.google.com/patent/EP0246058B1/en,https://patentimages.storage.googleapis.com/34/51/5f/b9f2e9d7ffa0a2/imgf0001.png
US-4156914-A,Computer image display system and processor therefor ,Baird Corporation,William E. Westell,1977-08-18,1977-08-18,1979-05-29,1979-05-29,https://patents.google.com/patent/US4156914A/en,https://patentimages.storage.googleapis.com/ce/eb/ca/38edeb8c1d85c7/US4156914-drawings-page-2.png
US-5418677-A,Thermal modeling of overcurrent trip during power loss ,Eaton Corporation,Joseph C. Engel,1990-12-28,1994-01-19,1995-05-23,1995-05-23,https://patents.google.com/patent/US5418677A/en,https://patentimages.storage.googleapis.com/c5/e1/fd/edbe6a3475bdfe/US5418677-drawings-page-3.png
US-2428990-A,Electronic computer ,Rca Corp,Jan A Rajchman,1943-01-22,1943-01-22,1947-10-14,1947-10-14,https://patents.google.com/patent/US2428990A/en,https://patentimages.storage.googleapis.com/f4/29/ed/5553ca0ece3d4d/US2428990-drawings-page-1.png
US-4019038-A,Correlators ,Kent Instruments Limited,"Donald Louis Critten, Peter Alan Johnson",1971-06-10,1975-03-04,1977-04-19,1977-04-19,https://patents.google.com/patent/US4019038A/en,https://patentimages.storage.googleapis.com/36/ca/42/9c2ef2311dcf96/US4019038-drawings-page-2.png
US-4480190-A,Non-dispersive infrared gas analyzer ,Andros Analyzers Incorporated,"Irvin G. Burough, Kevin G. Williams",1982-05-20,1982-05-20,1984-10-30,1984-10-30,https://patents.google.com/patent/US4480190A/en,https://patentimages.storage.googleapis.com/d7/44/07/3e699286a5170a/US4480190-drawings-page-2.png
US-3851976-A,Method for determining the translucency and/or turbidity of a medium and apparatus for applying the method ,J Meier,J Meier,1972-01-26,1973-01-24,1974-12-03,1974-12-03,https://patents.google.com/patent/US3851976A/en,https://patentimages.storage.googleapis.com/64/95/ea/63930a54355649/US3851976-drawings-page-2.png
US-5089983-A,Charge domain vector-matrix product processing system ,Massachusetts Institute Of Technology,Alice M. Chiang,1990-02-02,1990-02-02,1992-02-18,1992-02-18,https://patents.google.com/patent/US5089983A/en,https://patentimages.storage.googleapis.com/c7/93/42/178f72851b33ab/US5089983-drawings-page-2.png
US-4459546-A,Electronic kilowatthour meter ,Rockwell International Corporation,"Robert A. Arrington, Richard A. Nelson, James L. Thomas",1980-11-03,1980-11-03,1984-07-10,1984-07-10,https://patents.google.com/patent/US4459546A/en,https://patentimages.storage.googleapis.com/f3/a3/b4/e4c986b3ae4e2e/US4459546-drawings-page-2.png
US-3146343-A,Hybrid arithmetic computing elements ,Adage Inc,Frink M Young,1960-08-03,1960-08-03,1964-08-25,1964-08-25,https://patents.google.com/patent/US3146343A/en,https://patentimages.storage.googleapis.com/92/25/06/815bce7c5e8701/US3146343-drawings-page-1.png
US-5377109-A,Failsafe digital bus to analog protocol converter system ,Lear Astronics Corp.,"John A. Baker, Otto H. Boe, Wayne E. Burklund, Robert W. Edmeads, Melvin G. Oster",1992-07-31,1992-07-31,1994-12-27,1994-12-27,https://patents.google.com/patent/US5377109A/en,https://patentimages.storage.googleapis.com/b0/f3/fc/b22741756a6fbe/US5377109-drawings-page-2.png
US-6356224-B1,Arbitrary waveform generator having programmably configurable architecture ,Credence Systems Corporation,Paul Dana Wohlfarth,1999-10-21,1999-10-21,2002-03-12,2002-03-12,https://patents.google.com/patent/US6356224B1/en,https://patentimages.storage.googleapis.com/09/9e/07/c16fd867b9a3bc/US6356224-drawings-page-2.png
US-4347580-A,Array convolver/correlator ,The United States Of America As Represented By The Secretary Of The Navy,James W. Bond,1980-07-21,1980-07-21,1982-08-31,1982-08-31,https://patents.google.com/patent/US4347580A/en,https://patentimages.storage.googleapis.com/d6/97/de/8972acd1f0c3ff/US4347580-drawings-page-2.png
US-8078122-B2,Interface between digital and analog circuits ,Qualcomm Incorporated,"Gurkanwal Sahota, Mehdi H. Sani, Sassan Shahrokhinia",2000-01-21,2003-07-21,2011-12-13,2011-12-13,https://patents.google.com/patent/US8078122B2/en,https://patentimages.storage.googleapis.com/b3/7b/d4/9f9a0b1a541121/US08078122-20111213-D00000.png
US-4636772-A,Multiple function type D/A converter ,Riken Denshi Co. Ltd.,Soichiro Yasunaga,1985-01-17,1985-05-22,1987-01-13,1987-01-13,https://patents.google.com/patent/US4636772A/en,https://patentimages.storage.googleapis.com/10/94/d7/b034493a111a19/US4636772-drawings-page-2.png
US-3177350-A,Transistorized step multiplier ,Gen Electric,"Harold W Abbott, Vernon P Mathis",1961-05-31,1961-05-31,1965-04-06,1965-04-06,https://patents.google.com/patent/US3177350A/en,https://patentimages.storage.googleapis.com/67/73/c9/3becd0f5fb345f/US3177350-drawings-page-1.png
