id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3865030-A,Printing mechanism automatically positionable in the same start position ,Seikosha Kk,"Yoshinori Chida, Seiki Mizutani",1971-08-18,1972-08-18,1975-02-11,1975-02-11,https://patents.google.com/patent/US3865030A/en,https://patentimages.storage.googleapis.com/94/51/21/539c975492d57f/US3865030-drawings-page-2.png
US-1197277-A,Number printing and punctuating mechanism. ,Halcolm Ellis,Halcolm Ellis,1908-12-30,1913-07-09,1916-09-05,1916-09-05,https://patents.google.com/patent/US1197277A/en,https://patentimages.storage.googleapis.com/a5/34/9f/21b5f5572cfbb5/US1197277-drawings-page-1.png
US-2325388-A,Calculating machine ,,,,,1943-07-27,1943-07-27,https://patents.google.com/patent/US2325388A/en,https://patentimages.storage.googleapis.com/4c/fb/11/ec625858bc767f/US2325388-drawings-page-1.png
US-2172758-A,Statistical card punch ,Remington Rand Inc,"Raymond E Rice, Walter F Kelley",1938-07-01,1938-07-01,1939-09-12,1939-09-12,https://patents.google.com/patent/US2172758A/en,https://patentimages.storage.googleapis.com/a4/04/f4/1aa4b97b35dcad/US2172758-drawings-page-1.png
US-2329190-A,Decimal point indicating mechanism ,,,,,1943-09-14,1943-09-14,https://patents.google.com/patent/US2329190A/en,https://patentimages.storage.googleapis.com/29/85/2b/0a406ce00cc0a3/US2329190-drawings-page-1.png
US-2515692-A,Partial product multiplying calculator ,,,,,1950-07-18,1950-07-18,https://patents.google.com/patent/US2515692A/en,https://patentimages.storage.googleapis.com/f9/db/9b/6ee948a8c678e6/US2515692-drawings-page-1.png
US-2424359-A,Adding machine ,,,,,1947-07-22,1947-07-22,https://patents.google.com/patent/US2424359A/en,https://patentimages.storage.googleapis.com/75/94/a2/da4d98d2c347ff/US2424359-drawings-page-1.png
US-2629863-A,Cash registeimndicating system ,,,,,1953-02-24,1953-02-24,https://patents.google.com/patent/US2629863A/en,https://patentimages.storage.googleapis.com/70/d5/85/2c2dc9ebae9067/US2629863-drawings-page-1.png
US-2211736-A,avery x ,,,,,1940-08-13,1940-08-13,https://patents.google.com/patent/US2211736A/en,https://patentimages.storage.googleapis.com/2f/e9/52/4ab8981239c842/US2211736-drawings-page-1.png
US-7637418-B2,Advanced gestational wheel calculator ,Craig H Randall,H. Randall Craig,2003-10-28,2004-10-28,2009-12-29,2009-12-29,https://patents.google.com/patent/US7637418B2/en,https://patentimages.storage.googleapis.com/US7637418B2/US07637418-20091229-D00000.png
