id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3646522-A,General purpose optimized microprogrammed miniprocessor ,Interdata Inc,"Arthur R Furman, Richard Jones, Charles Moreland, Elliot Nestle",1969-08-15,1969-08-15,1972-02-29,1972-02-29,https://patents.google.com/patent/US3646522A/en,https://patentimages.storage.googleapis.com/18/c7/95/5a299a606c2998/US3646522-drawings-page-2.png
US-3596256-A,Transaction computer system having multiple access stations ,Pitney Bowes Alpex,"Norman Alpert, Marvin Felcheck, Wallace Kirschner",1969-08-08,1969-08-08,1971-07-27,1971-07-27,https://patents.google.com/patent/US3596256A/en,https://patentimages.storage.googleapis.com/cd/de/ec/757b75265409fe/US3596256-drawings-page-2.png
US-3609697-A,Program security device ,Ibm,"Parker R Blevins, David W Terry, Ray H Thurmond",1968-10-21,1968-10-21,1971-09-28,1971-09-28,https://patents.google.com/patent/US3609697A/en,https://patentimages.storage.googleapis.com/be/d0/49/9a664af4ca6e1e/US3609697-drawings-page-2.png
US-3657705-A,Instruction translation control with extended address prefix decoding ,Honeywell Inc,"John E Mekota Jr, David M Hudson, Thomas G Rankin, Jean E Champagne",1969-11-12,1969-11-12,1972-04-18,1972-04-18,https://patents.google.com/patent/US3657705A/en,https://patentimages.storage.googleapis.com/ca/d6/6e/faf7de9d4a27ce/US3657705-drawings-page-2.png
US-3613066-A,Computer input equipment ,Cii,Charles R Cooreman,1968-10-22,1968-10-22,1971-10-12,1971-10-12,https://patents.google.com/patent/US3613066A/en,https://patentimages.storage.googleapis.com/1c/04/f8/8d2ca5d7f9b32c/US3613066-drawings-page-2.png
US-3588829-A,Integrated memory system with block transfer to a buffer store ,Ibm,"Lawrence J Boland, Gerry D Granito",1968-11-14,1968-11-14,1971-06-28,1971-06-28,https://patents.google.com/patent/US3588829A/en,https://patentimages.storage.googleapis.com/27/72/6b/bc602323089d5e/US3588829-drawings-page-2.png
US-3566365-A,Multiphasic medical screening system ,Searle Medidata Inc,"Edward B Rawson, Daniel B Schwarzkopf, Joseph B Ferguson, Jay H Ball",1968-09-12,1968-09-12,1971-02-23,1971-02-23,https://patents.google.com/patent/US3566365A/en,https://patentimages.storage.googleapis.com/38/29/60/b31a04700ea6df/US3566365-drawings-page-6.png
US-3544973-A,Variable structure computer ,Westinghouse Electric Corp,"Walter C Borck Jr, John G Gregory, James R Hudson, John C Murtha",1968-03-13,1968-03-13,1970-12-01,1970-12-01,https://patents.google.com/patent/US3544973A/en,https://patentimages.storage.googleapis.com/df/eb/a7/e29c52b12f6030/US3544973-drawings-page-1.png
US-3665173-A,Triple modular redundancy/sparing ,Ibm,"Willard G Bouricius, William C Carter, John P Roth, Peter R Schneider",1968-09-03,1968-09-03,1972-05-23,1972-05-23,https://patents.google.com/patent/US3665173A/en,https://patentimages.storage.googleapis.com/4a/65/51/43c9e79d1d5811/US3665173-drawings-page-2.png
US-3593313-A,Calculator apparatus ,Computer Design Corp,"Carlos A Tomaszewski, Timothy A R Goodliffe, Norman J Grannis, Irving Sperling, Connable F Wills",1969-12-15,1969-12-15,1971-07-13,1971-07-13,https://patents.google.com/patent/US3593313A/en,https://patentimages.storage.googleapis.com/26/d1/aa/bbb3a4c6a7c314/US3593313-drawings-page-2.png
US-3619504-A,Directional nonreturn to zero computer bussing system ,Ibm,"John A De Veer, Howard H Nick",1967-01-13,1969-12-24,1971-11-09,1971-11-09,https://patents.google.com/patent/US3619504A/en,https://patentimages.storage.googleapis.com/ac/3b/7f/864958ddc70eb8/US3619504-drawings-page-2.png
US-3636331-A,Method and system for the automatic control of chemical plants with parallel-connected computer backup system ,Huels Chemische Werke Ag,Hermann Amrehn,1967-06-16,1968-06-14,1972-01-18,1972-01-18,https://patents.google.com/patent/US3636331A/en,https://patentimages.storage.googleapis.com/be/fe/de/c40fa679342607/US3636331-drawings-page-2.png
US-3478322-A,Data processor employing electronically changeable control storage ,Ibm,Bob O Evans,1967-05-23,1967-05-23,1969-11-11,1969-11-11,https://patents.google.com/patent/US3478322A/en,https://patentimages.storage.googleapis.com/c0/d1/e0/f7fd9ea686618b/US3478322-drawings-page-3.png
US-3634883-A,Microinstruction address modification and branch system ,Honeywell Inc,Leonard L Kreidermacher,1969-11-12,1969-11-12,1972-01-11,1972-01-11,https://patents.google.com/patent/US3634883A/en,https://patentimages.storage.googleapis.com/ad/18/30/d290db4da20a36/US3634883-drawings-page-7.png
US-3544777-A,Two memory self-correcting system ,Trw Inc,Ted Winkler,1967-11-06,1967-11-06,1970-12-01,1970-12-01,https://patents.google.com/patent/US3544777A/en,https://patentimages.storage.googleapis.com/e1/6e/5c/3d1f21cd4cf76e/US3544777-drawings-page-2.png
US-3537074-A,Parallel operating array computer ,Burroughs Corp,"Richard A Stokes, George H Barnes, Albert Sankin",1967-12-20,1967-12-20,1970-10-27,1970-10-27,https://patents.google.com/patent/US3537074A/en,https://patentimages.storage.googleapis.com/33/ff/b4/c96f319f946d24/US3537074-drawings-page-17.png
US-3593300-A,Arrangement for automatically selecting units for task executions in data processing systems ,Ibm,"Graham C Driscoll Jr, Alvin P Mullery",1967-11-13,1967-11-13,1971-07-13,1971-07-13,https://patents.google.com/patent/US3593300A/en,https://patentimages.storage.googleapis.com/8b/4d/ae/65a1ff786c5f3c/US3593300-drawings-page-2.png
US-3653001-A,Time-shared computer graphics system having data processing means at display terminals ,Bell Telephone Labor Inc,William H Ninke,1967-11-13,1967-11-13,1972-03-28,1972-03-28,https://patents.google.com/patent/US3653001A/en,https://patentimages.storage.googleapis.com/5d/4e/2b/db597bec7e60e7/US3653001-drawings-page-2.png
US-3540003-A,Computer monitoring system ,Ibm,Robert W Murphy,1968-06-10,1968-06-10,1970-11-10,1970-11-10,https://patents.google.com/patent/US3540003A/en,https://patentimages.storage.googleapis.com/a5/ec/d6/597f6a08d415a5/US3540003-drawings-page-6.png
US-3634830-A,Modular computer sharing system with intercomputer communication control apparatus ,Ibm,Herbert B Baskin,1969-06-13,1969-06-13,1972-01-11,1972-01-11,https://patents.google.com/patent/US3634830A/en,https://patentimages.storage.googleapis.com/57/c0/23/4ba3a9cfa4ccb4/US3634830-drawings-page-2.png
US-3623014-A,Computer communications system ,Control Data Corp,"Melvin L Doelz, Robert F Martin, Fred K Morioka",1969-08-25,1969-08-25,1971-11-23,1971-11-23,https://patents.google.com/patent/US3623014A/en,https://patentimages.storage.googleapis.com/87/78/21/f295bdbdfe593f/US3623014-drawings-page-2.png
US-3657707-A,Laser recording system with both surface defect and data error checking ,Precision Instr Co,"Keith E Mcfarland, Carl H Becker, Harold R Dell, Masao Hashiguchi, Edward D Lara, Herman Wong",1969-03-17,1969-03-17,1972-04-18,1972-04-18,https://patents.google.com/patent/US3657707A/en,https://patentimages.storage.googleapis.com/3c/da/ff/5a137256f16a6e/US3657707-drawings-page-2.png
US-3541541-A,X-y position indicator for a display system ,Stanford Research Inst,Douglas C Engelbart,1967-06-21,1967-06-21,1970-11-17,1970-11-17,https://patents.google.com/patent/US3541541A/en,https://patentimages.storage.googleapis.com/a2/ba/93/d822c462842669/US3541541-drawings-page-1.png
JP-6360601-B2,Communication platform based on the headset ,"ファウンデーション プロダクションズ エルエルシー, ファウンデーション  プロダクションズ  エルエルシー","ユージン フィッシャー、ロナルド, ユージン フィッシャー、ロナルド, ジョナサン デイヴィス、ブライアン, ジョナサン デイヴィス、ブライアン, ブライアン ブシャード、ブラッドリー, ブライアン ブシャード、ブラッドリー, ジョセフ メイヤー、マーク, ジョセフ メイヤー、マーク, フィッシャー、ジェームズ, パティル、ニチン, ラーマン、モハンマド, ヤング、ベン, ジョンソン、ダニエル",2009-02-27,2017-07-07,2018-07-18,2018-07-18,https://patents.google.com/patent/JP6360601B2/en,https://patentimages.storage.googleapis.com/27/5b/1e/461e4f20f3b176/0006360601-2.png
JP-6482096-B2,System and method to respond to the driver's behavior ,本田技研工業株式会社,"キン・ファン, ティモシー・ジェー・ディック",2011-02-18,2017-07-25,2019-03-13,2019-03-13,https://patents.google.com/patent/JP6482096B2/en,https://patentimages.storage.googleapis.com/JP6482096B2/0006482096.png
AU-2018267582-B2,Method and system for communication between a monitoring client and a base ,Deka Products Limited Partnership,"Todd A. Ballantyne, Jonathan P. Rosse, Michael J. Wilt, Brian K. Yee",2012-05-24,2018-11-20,2019-01-24,2019-01-24,https://patents.google.com/patent/AU2018267582B2/en,
JP-6463426-B2,Locked camera access ,"マイクロソフト テクノロジー ライセンシング，エルエルシー, マイクロソフト  テクノロジー  ライセンシング，エルエルシー","バンディオパドヤイ，シャミク, バーネット，ドナルド・エイ, カプーア，ヴィクラム, ロー，ベロニカ・ワイ, レムソン，キャスリン・シー, セングプタ，ティルサンカー, ティアマグンドル，ディビャ, ビラル，アフマド",2010-07-09,2017-08-15,2019-02-06,2019-02-06,https://patents.google.com/patent/JP6463426B2/en,https://patentimages.storage.googleapis.com/JP6463426B2/0006463426.png
AU-2017218933-B2,Capacitive sensor packaging ,Apple Inc.,"Shawn Arnold, Barry J. Corlett, Terry L. Gilton, Matthew D. Hill, Syed Husaini, Benjamin B. Lyon, Scott A. Meyers, Benjamin J. Pope, Steven Webster",2012-05-18,2017-08-21,2018-08-23,2018-08-23,https://patents.google.com/patent/AU2017218933B2/en,
JP-6427703-B2,Touch screen device for determining a command by applying a heuristic method and graphical user interface ,"アップル インコーポレイテッドＡｐｐｌｅ Ｉｎｃ．, アップル  インコーポレイテッドＡｐｐｌｅ  Ｉｎｃ．","スティーブン ピー ジョブズ, スティーブン  ピー ジョブズ, スコット フォストール, スコット フォストール, グレッグ クリスティー, グレッグ クリスティー, スティーブン オー ルメイ, スティーブン  オー ルメイ, スコット ハーツ, スコット ハーツ, オス マルセル ファン, オス  マルセル ファン, バス オルディング, バス オルディング, グレゴリー ノヴィック, グレゴリー ノヴィック, ウェイン シー ウェスターマン, ウェイン  シー ウェスターマン, イムラン チャウドリ, イムラン チャウドリ, パトリック リー コフマン, パトリック  リー コフマン, ケニス コシェンダ, ケニス コシェンダ, ニティン ケイ ガナトラ, ニティン  ケイ ガナトラ, ジェレミー エイ ワイルド, ジェレミー  エイ ワイルド, ジェフリー ブッシュ, ジェフリー ブッシュ, フレディ アレン アンズアーズ, フレディ  アレン アンズアーズ, マイケル マタス, マイケル マタス, ポール ディー マルコス, ポール  ディー マルコス, チャールズ ジェイ ピスラ, チャールズ  ジェイ ピスラ, ヴァージル スコット キング, ヴァージル  スコット キング, クリス ブルーメンバーグ, クリス ブルーメンバーグ, フランシスコ ライアン トルマスキー, フランシスコ  ライアン トルマスキー, リチャード ウィリアムソン, リチャード ウィリアムソン, アンドレ エム ジェイ ブール, アンドレ  エム  ジェイ ブール, ヘンリー シー ラミロー, ヘンリー  シー ラミロー",2006-09-06,2018-05-07,2018-11-21,2018-11-21,https://patents.google.com/patent/JP6427703B2/en,https://patentimages.storage.googleapis.com/4d/b1/70/428c1861edc3b6/0006427703-3.png
JP-6379262-B2,Social circle within a social network ,"グーグル エルエルシー, グーグル  エルエルシー","ジョセフ・スマール, ポール・アダムス, シムリット・ベン−ヤイール, ジョナサン・ターレスキー, マンディー・アール・スラッデン, レイ・ジュン−アン・ス",2010-11-01,2017-08-07,2018-08-22,2018-08-22,https://patents.google.com/patent/JP6379262B2/en,https://patentimages.storage.googleapis.com/JP6379262B2/0006379262.png
AU-2017254801-B2,Virtual and augmented reality systems and methods ,"Magic Leap, Inc.",Brian Schowengerdt,2013-11-27,2017-10-30,2018-11-15,2018-11-15,https://patents.google.com/patent/AU2017254801B2/en,
AU-2017204474-B2,Social messaging user interface ,Google Llc,"Jeffrey W. Hamilton, Christopher D. Nesladek, Prasenjit Phukan, Jeffrey A. Sharkey",2009-10-28,2017-06-29,2017-08-03,2017-08-03,https://patents.google.com/patent/AU2017204474B2/en,
AU-2017221811-B2,Method and system for patient-specific modeling of blood flow ,"Heartflow, Inc.",Charles A. Taylor,2010-08-12,2017-08-31,2017-12-07,2017-12-07,https://patents.google.com/patent/AU2017221811B2/en,
JP-6462043-B2,Method for reducing the effects of parasitic capacitances in the sensing line of the touch controller and a display panel ,"三星電子株式会社Ｓａｍｓｕｎｇ Ｅｌｅｃｔｒｏｎｉｃｓ Ｃｏ．，Ｌｔｄ．, 三星電子株式会社Ｓａｍｓｕｎｇ  Ｅｌｅｃｔｒｏｎｉｃｓ  Ｃｏ．，Ｌｔｄ．","亨來 金, 亨來 金, 倫競 崔, 倫競 崔, 和鉉 ▲チョ▼, 和鉉 ▲チョ▼, 相佑 金, 相佑 金, 海▲ヨン▼ 安, 海▲ヨン▼ 安, 亨達 權, 亨達 權, 鍾剛 朴, 鍾剛 朴, 山鎬 卞, 山鎬 卞, 載錫 劉, 載錫 劉",2008-10-30,2017-06-02,2019-01-30,2019-01-30,https://patents.google.com/patent/JP6462043B2/en,https://patentimages.storage.googleapis.com/d5/65/4a/f383c910592ed1/0006462043-14.png
JP-6445734-B1,"The information processing apparatus using the dot pattern, the medium which dot patterns are formed, the dot pattern reading process, the information processing method using a dot pattern, a dot pattern reading device, a dot pattern, the program ",グリッドマーク株式会社,"吉田　健治, 健治 吉田",2002-09-26,2018-10-26,2018-12-26,2018-12-26,https://patents.google.com/patent/JP6445734B1/en,https://patentimages.storage.googleapis.com/b5/07/5d/483eda8f550cdb/0006445734-2.png
JP-6429981-B2,Classification of the intention of the user input ,"マイクロソフト テクノロジー ライセンシング，エルエルシー, マイクロソフト  テクノロジー  ライセンシング，エルエルシー","オットー ウィット，ザ・サード，デイヴィッド, オットー ウィット，ザ・サード，デイヴィッド, レベッカ リード マクローリン，ロビン, レベッカ  リード マクローリン，ロビン, エル． シュナイダー，サマー, エル． シュナイダー，サマー, ジョーゼフ ワール，エリック, ジョーゼフ ワール，エリック, エイチ． ワイズ，ジェイムズ, エイチ． ワイズ，ジェイムズ, レオン，カミーロ, アーガールド，カルステン, チャールズ オリヴァー，トマス, チャールズ オリヴァー，トマス, エヌ． ケイディ，アンドリュー, エヌ． ケイディ，アンドリュー, モーリス シュルツ，バーナード, モーリス シュルツ，バーナード, マノハール ディグデ，ラジェシュ, マノハール ディグデ，ラジェシュ, ドラスニン，シャロン, シディキ，カビール, トム ベレシウ，ジム, トム ベレシウ，ジム, アレック イシハラ，ジェイムズ, アレック イシハラ，ジェイムズ, ワーン，ホワ, フルーネ，ラルフ, ハリー ストウムボス，クリストファー, ハリー ストウムボス，クリストファー, ローレンス ペリー，ジョエル, ローレンス ペリー，ジョエル, スコット カッセルズ，ジェイ, スコット カッセルズ，ジェイ, ピーター スプーナー，リチャード, ピーター スプーナー，リチャード, シー． ショー，ティモシー, シー． ショー，ティモシー, デイヴィッド マイケルソン，マシュー, デイヴィッド マイケルソン，マシュー, フアラ，ロブ, ヘンリー ディーツ，ポール, ヘンリー ディーツ，ポール, ジェイ． マティアス，デニス, ジェイ． マティアス，デニス, シー． ヴァンデルヴールト，デイヴィッド, シー． ヴァンデルヴールト，デイヴィッド, デイヴィッド プリーケ，トッド, デイヴィッド プリーケ，トッド, アール． ルッツ，モウシェ, アール． ルッツ，モウシェ, ミッチェル メイル，スコット, ミッチェル メイル，スコット, エー． ホイットマン，クリストファー, エー． ホイットマン，クリストファー, ウィンストン オレル，ヴァン, ウィンストン オレル，ヴァン, ウメノ，ヒロオ, アール． ペレク，デイヴィッド, アール． ペレク，デイヴィッド, エー． シュウェイガー，マイケル, エー． シュウェイガー，マイケル, ジェイ． サイルスタッド，マーク, ジェイ． サイルスタッド，マーク, クリスティアン リード，アンソニー, クリスティアン リード，アンソニー, アレグザンダー カミングズ，ステファン, アレグザンダー カミングズ，ステファン, アイ． ジェンセン，ダリル, アイ． ジェンセン，ダリル, シー． パナイ，パノス, シー． パナイ，パノス, ストランデ，ハコン, ブオン ゴー，チュン, ブオン ゴー，チュン, エフ． マントゥース，ハロルド, エフ． マントゥース，ハロルド, チャールズ マーシャル，ジェイムズ, チャールズ マーシャル，ジェイムズ, ジー． ピーダーセン，マシュー, ジー． ピーダーセン，マシュー, ディー． ヤング，ロバート, ディー． ヤング，ロバート, シー． シャーマン，ネイサン, シー． シャーマン，ネイサン, ケイ． ギブソン，スコット, ケイ． ギブソン，スコット, アーロン サイクス，シェイン, アーロン サイクス，シェイン, エム． レーン，デイヴィッド, エム． レーン，デイヴィッド, ロバート オビー，ジーン, ロバート オビー，ジーン, シー． ギアイモ，ザ・サード，エドワード, シー． ギアイモ，ザ・サード，エドワード, ネフ，デイヴィッド, アール． スーザ，ジョゼ, アール． スーザ，ジョゼ",2012-03-02,2017-11-27,2018-11-28,2018-11-28,https://patents.google.com/patent/JP6429981B2/en,https://patentimages.storage.googleapis.com/31/bf/5f/ed5043f1bd1e7a/0006429981-2.png
JP-6440808-B2,Personal management and monitoring of medical conditions ,"ペイシェンツライクミー， インコーポレイテッド, ペイシェンツライクミー，  インコーポレイテッド","ヘイウッド ベンジャミン, ヘイウッド ベンジャミン, ヘイウッド ジェームズ, ヘイウッド ジェームズ, ウィックス ポール, ウィックス ポール",2007-10-12,2017-11-27,2018-12-19,2018-12-19,https://patents.google.com/patent/JP6440808B2/en,https://patentimages.storage.googleapis.com/JP6440808B2/0006440808.png
JP-6433556-B2,System and method for transmitting haptic messages ,"イマージョン コーポレーションＩｍｍｅｒｓｉｏｎ Ｃｏｒｐｏｒａｔｉｏｎ, イマージョン  コーポレーションＩｍｍｅｒｓｉｏｎ  Ｃｏｒｐｏｒａｔｉｏｎ","デイビッド バーンボーム、, デイビッド バーンボーム、, クリストファー ジェイ． ウーリッヒ、, クリストファー  ジェイ． ウーリッヒ、, ピーター ルビン、, ピーター ルビン、, フォン デイビッド ヌゴ、, フォン  デイビッド ヌゴ、, レオ コペロウ、, レオ コペロウ、",2008-07-15,2017-09-07,2018-12-05,2018-12-05,https://patents.google.com/patent/JP6433556B2/en,https://patentimages.storage.googleapis.com/3f/87/9f/0677fc768561b2/0006433556-2.png
JP-6377216-B2,"Electronic devices, methods, computer program ","アップル インコーポレイテッドＡｐｐｌｅ Ｉｎｃ．, アップル  インコーポレイテッドＡｐｐｌｅ  Ｉｎｃ．","マイケル マタス, マイケル マタス, グレッグ クリスティー, グレッグ クリスティー, ポール ディー マルコス, ポール  ディー マルコス, スコット フォストール, スコット フォストール, オス マルセル ファン, オス  マルセル ファン, バス オルディング, バス オルディング, イムラン チャウドリ, イムラン チャウドリ",2006-09-06,2017-07-05,2018-08-22,2018-08-22,https://patents.google.com/patent/JP6377216B2/en,https://patentimages.storage.googleapis.com/84/f0/98/e6786a957f40f5/0006377216-2.png
KR-101928674-B1,Transparent composite piezoelectric combined touch sensor and haptic actuator ,임머숀 코퍼레이션,"알리 모다레스, 크리스토프 람스타인, 주안 마누엘 크루즈-헤르난데즈, 대니 에이. 그랜트",2010-04-23,2017-12-28,2018-12-12,2018-12-12,https://patents.google.com/patent/KR101928674B1/en,https://patentimages.storage.googleapis.com/19/b2/c4/1ea341d63c908d/112017130343152-pat00001.png
US-3496551-A,Task selection in a multi-processor computing system ,Ibm,"Graham C Driscoll, Meir M Lehman",1967-07-13,1967-07-13,1970-02-17,1970-02-17,https://patents.google.com/patent/US3496551A/en,https://patentimages.storage.googleapis.com/9f/b9/7f/2a55e6e88805a4/US3496551-drawings-page-1.png
US-3577189-A,"Apparatus and method in a digital computer for allowing improved program branching with branch anticipation reduction of the number of branches, and reduction of branch delays ",Ibm,"John Cocke, Brian Randell, Herbert Schorr, Edward H Sussenguth",1969-01-15,1969-01-15,1971-05-04,1971-05-04,https://patents.google.com/patent/US3577189A/en,https://patentimages.storage.googleapis.com/d9/42/b4/46c1e8294bc13a/US3577189-drawings-page-2.png
US-3564506-A,Instruction retry byte counter ,Ibm,"Mark W Bee, Donald J Lang",1968-01-17,1968-01-17,1971-02-16,1971-02-16,https://patents.google.com/patent/US3564506A/en,https://patentimages.storage.googleapis.com/24/22/ae/6f2d4559b4751d/US3564506-drawings-page-1.png
US-3581291-A,Memory control system in multiprocessing system ,Hitachi Ltd,"Shoji Iwamoto, Hisashi Horikoshi",1968-10-31,1969-10-29,1971-05-25,1971-05-25,https://patents.google.com/patent/US3581291A/en,https://patentimages.storage.googleapis.com/c3/21/33/acd878fa1a6ff2/US3581291-drawings-page-2.png
US-3517171-A,Self-testing and repairing computer ,Nasa,Algirdas A Avizienis,1967-10-30,1967-10-30,1970-06-23,1970-06-23,https://patents.google.com/patent/US3517171A/en,https://patentimages.storage.googleapis.com/3c/08/35/64db8c8cf3ba58/US3517171-drawings-page-1.png
US-3648252-A,"Multiprogrammable, multiprocessor computer system ",Honeywell Inc,"John E Thron, William E Woods, Ronald Bellettiere, Howard Stein",1969-11-03,1969-11-03,1972-03-07,1972-03-07,https://patents.google.com/patent/US3648252A/en,https://patentimages.storage.googleapis.com/8a/f4/fe/3b1778a319b8c1/US3648252-drawings-page-2.png
US-3588839-A,Hierarchical memory updating system ,Ibm,"Laszlo A Belady, Carl J Kuehner, Meir M Lehman, Brian Randell",1969-01-15,1969-01-15,1971-06-28,1971-06-28,https://patents.google.com/patent/US3588839A/en,https://patentimages.storage.googleapis.com/cb/a6/4e/560a23d424bd2c/US3588839-drawings-page-2.png
US-3317798-A,Cooling electrical apparatus ,Ibm,"Richard C Chu, Peter J Cunavelis, Gerstenhaber Julius, John H Seely",1966-04-13,1966-04-13,1967-05-02,1967-05-02,https://patents.google.com/patent/US3317798A/en,https://patentimages.storage.googleapis.com/41/f1/90/37245852e5fc77/US3317798-drawings-page-1.png
